partial_T,n,iface_ok,med_irmsd,med_tgtrmsd
0,55,50,1.2125980623458912e-06,1.251905424660764e-06
5,165,62,1149.627842974397,0.1306482932495825
10,165,62,25923.71452731456,0.1261934430046807
20,165,57,1519159.7150667678,0.1277820181283769
40,147,37,48856247.86194823,0.1362085847828215
