seed,ref,order,rec_buried,rec_exposed,rec_diff,command
0,6,anti_burial,0.8181818723678589,0.9130434989929199,-0.09486162662506104,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
0,6,random,0.75,0.8478261232376099,-0.09782612323760986,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
0,7,purity,0.8636363744735718,0.9795918464660645,-0.11595547199249268,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
0,7,burial_first,0.8636363744735718,0.8979591727256775,-0.03432279825210571,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
0,7,anti_burial,0.8636363744735718,0.9591836333274841,-0.09554725885391235,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
0,7,random,0.7727273106575012,0.9591836333274841,-0.1864563226699829,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,0,purity,0.8444444537162781,0.8181818723678589,0.02626258134841919,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,0,burial_first,0.7777777910232544,0.8636363744735718,-0.08585858345031738,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,0,anti_burial,0.800000011920929,0.8636363744735718,-0.06363636255264282,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,0,random,0.7555555701255798,0.8409091234207153,-0.0853535532951355,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,1,purity,0.9130434989929199,0.9811320900917053,-0.0680885910987854,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,1,burial_first,0.8260869979858398,0.9811320900917053,-0.15504509210586548,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,1,anti_burial,0.8695652484893799,0.9245283007621765,-0.05496305227279663,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,1,random,0.8913043737411499,0.9622641801834106,-0.07095980644226074,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,2,purity,0.8139534592628479,0.9777777791023254,-0.16382431983947754,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
