tier,n_pairs,n_complexes,join_check,frac_same_aa,gpc_hot,gpc_ctl,d_logp_mean,d_logp_lo,d_logp_hi,d_logp_p_gt0,d_logp_sd,dH_mean,dH_lo,dH_hi,dH_p_gt0,dH_sd,d_p_max_mean,d_p_max_lo,d_p_max_hi,d_p_max_p_gt0,d_p_max_sd,seed,n_boot,note,command
AAMATCHED_any_interface,51,38,JOIN OK,1.0,0.098,0.098,0.28866,-0.17285,0.75117,0.8901,1.75657,-0.2836,-0.4335,-0.1184,0.0008,0.69667,0.10897,0.04578,0.16946,0.999,0.26788,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
EXPC_within_binder,58,31,JOIN OK,0.0517,0.0345,0.1207,0.22061,-0.1238,0.54198,0.904,1.39993,-0.02467,-0.21752,0.14725,0.3922,0.73464,0.0226,-0.04068,0.09176,0.7591,0.2755,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
HYDROMATCHED_any_interface,189,85,JOIN OK,0.1852,0.0423,0.1799,-0.00279,-0.225,0.20775,0.4891,1.61825,0.04557,-0.06271,0.15832,0.7873,0.81639,-0.01707,-0.05781,0.02212,0.2037,0.3013,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
PRIMARY_loose_null,47,31,JOIN OK,0.1064,0.0426,0.0638,0.42005,-0.05013,0.88205,0.962,1.49845,-0.23792,-0.444,-0.04053,0.0074,0.6736,0.08432,0.01253,0.15935,0.9897,0.25174,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
PRIMARY_loose_null_T293_303,42,28,JOIN OK,0.0952,0.0476,0.0714,0.34017,-0.14703,0.83,0.9084,1.5528,-0.16044,-0.37287,0.03549,0.0555,0.62605,0.06016,-0.01506,0.14093,0.9396,0.24226,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
SECONDARY_A_measured_nonhot,129,58,JOIN OK,0.1008,0.0388,0.0465,0.33725,0.00943,0.65185,0.9789,1.64155,-0.16403,-0.27619,-0.04747,0.0037,0.63162,0.05713,0.01505,0.09649,0.9953,0.23928,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
SECONDARY_B_any_interface,384,129,JOIN OK,0.0703,0.0417,0.1849,-0.04212,-0.2216,0.12916,0.3159,1.6416,0.06312,-0.0186,0.15057,0.9361,0.8284,-0.02114,-0.05277,0.00833,0.0777,0.31065,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
SENS_nbr_tol2_any_interface,470,136,JOIN OK,0.0809,0.0383,0.166,-0.02124,-0.18919,0.14386,0.3985,1.67837,0.03664,-0.03141,0.10974,0.8555,0.78697,-0.00987,-0.03605,0.01513,0.2145,0.29516,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
strict_hot2_null,21,16,JOIN OK,0.0952,0.0476,0.0476,0.14516,-0.43805,0.65985,0.726,1.09123,-0.02827,-0.30397,0.20405,0.4227,0.61747,0.02081,-0.07549,0.12513,0.6648,0.23331,20260803,10000,Phase-0 committed matched pairs re-read as ENTROPY (and p_max) from the same order-averaged lp_A..lp_Y that produced logp_native; join gated by exact reproduction of the committed d_logp column,python3 src/p0_entropy_audit.py
