q,a,a_ci,b,b_ci,delta,delta_ci,p_gt0,auroc_delta,auroc_ci,pk_delta,pk_ci,command
Q1_KL_adds_to_burial,0.7371426137089788,"[0.7094720337567183, 0.7635565380488333]",0.688726090228767,"[0.6563858172264767, 0.7195169134704605]",0.04841652348021186,"[0.02199029087607349, 0.07472542127965187]",0.9995,,,,,python3 src/kl_analysis.py --out results/kl_analysis
Q2_KL_vs_contacts,0.694175317021911,"[0.6588984726093932, 0.7310403419939527]",0.6429303758821943,"[0.5969474260661565, 0.6904562954674061]",0.05124494113971678,"[0.015618427505210692, 0.0845771160478413]",0.9985,,,,,python3 src/kl_analysis.py --out results/kl_analysis
Q2b_KL_adds_over_burial_contacts,0.7251862370599679,"[0.6948361137952889, 0.7579363859055297]",0.7056744437028727,"[0.6752947425714974, 0.7376993662264162]",0.019511793357095186,"[0.0054511664389789325, 0.03287451800705364]",0.9935,,,,,python3 src/kl_analysis.py --out results/kl_analysis
Q3_seqfree_vs_seqaware,0.7371426137089788,"[0.7094720337567183, 0.7635565380488333]",0.7359367234205706,"[0.7092382253385395, 0.762125223785011]",0.001205890288408229,"[-0.020125771521896242, 0.022682693602845694]",0.5435,,,,,python3 src/kl_analysis.py --out results/kl_analysis
Q4_within_cx_burialKL_minus_burial,,,,,,,,0.06227604425124856,"[0.0362671047539556, 0.08670405835484166]",0.017107812822098535,"[-0.04945390984676699, 0.07955291005290994]",python3 src/kl_analysis.py --out results/kl_analysis
Q4_within_cx_burialKL_minus_xc,,,,,,,,0.08834744953614511,"[0.043956571527298476, 0.13355157109522717]",-0.009990644276358563,"[-0.07070596070596069, 0.047251653108795956]",python3 src/kl_analysis.py --out results/kl_analysis
