kind,partial_T,median_irmsd,mean_d,lo,hi,n_cx,n_bb,irmsd_bin,auc_burial,auc_bk,dauroc,p_gt0,n,command
gap_by_irmsd_ifaceok,,,0.33026379858111515,-0.07532346545365345,0.7692539229027753,29,39.0,<1,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
gap_by_irmsd_ifaceok,,,0.001480139368947172,-0.30853397819571776,0.35454670207568145,13,62.0,1-2,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
gap_by_irmsd_ifaceok,,,-0.3206244340787331,-0.8717250835409182,0.1870632867949705,12,22.0,2-3,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
gap_by_irmsd_ifaceok,,,-0.06501375952241374,-0.5821811847236693,0.5127332320778953,7,12.0,3-5,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
gap_by_irmsd_ifaceok,,,0.6190759483724833,-0.9321268610656261,2.210885301232338,4,4.0,5-10,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
gap_by_irmsd_ifaceok,,,-0.6811549343838893,-0.9511196001496897,-0.37179877612956636,9,17.0,>10,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T,0.0,,,0.0318296507664864,0.14373872754812383,55,,,0.7222510672666436,0.822891427252798,0.10064035998615439,0.9825,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T,5.0,,,-0.015796498147509608,0.09265258603159747,55,,,0.5321622245298258,0.5724875966308988,0.04032537210107301,0.943,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T,10.0,,,-0.0922591716072276,0.1126451880347769,55,,,0.5398638513903311,0.5797277027806623,0.03986385139033122,0.8125,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T,20.0,,,-0.08869468489378489,0.05078858362040378,55,,,0.5662570670358832,0.578054690204223,0.011797623168339766,0.6815,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T,40.0,,,0.0019150099073906302,0.16231250178368467,55,,,0.43668512749509636,0.5029710395754009,0.06628591208030454,0.9725,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T_ifaceok,0.0,,,0.03023431163663174,0.14292762166263048,50,,,0.7204986149584488,0.8212373037857802,0.10073868882733139,0.982,1814.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T_ifaceok,5.0,,,0.033882579760829576,0.13127908355450962,21,,,0.7362467866323907,0.819280205655527,0.08303341902313621,0.8785,783.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T_ifaceok,10.0,,,0.045233798430509474,0.13875921228682622,21,,,0.7275064267352185,0.8213367609254498,0.09383033419023135,0.8785,783.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T_ifaceok,20.0,,,0.058642309656552837,0.11544139881219553,20,,,0.7439946018893387,0.8298245614035088,0.08582995951417005,0.89,746.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
kl_by_T_ifaceok,40.0,,,-0.17568097597325438,-0.058379638252519614,17,,,0.5387481371087929,0.4263785394932936,-0.1123695976154993,0.0,676.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC/scored_positions.csv --backbones /scratch/users/cbertsch/expC/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC_rematch
