partial_T,n,iface_ok,med_irmsd,med_tgtrmsd,iface_frac
0,55,50,1.2125980623458912e-06,1.251905424665646e-06,0.909
5,330,119,1105.5019399757755,0.12753722906388915,0.361
10,330,120,25036.342281180303,0.12674599166230643,0.364
15,330,121,242561.27981246903,0.13186914532255384,0.367
20,330,118,1413980.2149740893,0.12843098848947543,0.358
30,330,98,15015579.094472405,0.1297795949642473,0.297
