length,seed,t_seq,t_str,seq_first
100,0,0.07480961923843286,0.04888074976513489,1
100,1,0.09134268537054308,0.04936593286534576,1
100,2,0.09134268537067534,0.04279554760267918,1
200,0,0.0749040939020494,0.07039562931157942,1
200,1,0.08869739478949099,0.067095140183287,1
200,2,0.10374248496992747,0.05727852472298345,1
300,0,0.15350701402803407,0.05246526524611132,0
300,1,0.0534488977955644,0.046371312457247925,1
300,2,0.11862224448886637,0.03859502592035999,0
