partial_T,strict_dauroc,strict_lo,strict_hi,strict_ncx,strict_nhot,loose_dauroc,loose_lo,loose_hi,loose_ncx,loose_nhot
0,0.07911870712707825,0.04589715393945487,0.11381086253709999,50,122,0.05774022608003904,0.035683825680834114,0.07991828801795654,50,249
5,0.07145538395538398,0.03474202411075923,0.1097099165758968,20,56,0.060171812562671234,0.03511493631869392,0.08315447835363976,20,109
10,0.07319277875385122,0.0379395028142688,0.11031400442726368,21,57,0.05700503653259559,0.0296320540271412,0.08305505658114992,21,111
15,0.07110483029053039,0.039505126348633866,0.1105886880490354,21,57,0.04502376392140173,0.021986580561515635,0.06992318281055156,21,111
20,0.07044279785094087,0.03740890916400104,0.10620026604551903,21,57,0.05437327090870392,0.02672874006259855,0.07774599009328503,21,111
30,0.05851348254526012,0.014130650382388225,0.11702209655652594,21,57,0.052862311130027595,0.012882808622610537,0.10345156224152019,21,111
