kind,partial_T,median_irmsd,mean_d,lo,hi,n_cx,n_bb,irmsd_bin,auc_burial,auc_bk,dauroc,p_gt0,frac_degen,n,command
gap_by_T_ifaceok,15.0,2.1140570114588817,0.17070975965547444,-0.25105584849829243,0.605750007677654,11,62.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_T_ifaceok,20.0,3.5824009713536245,0.27351806613833013,-0.24567640766200396,0.7544562517091481,11,60.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_T_ifaceok,30.0,9.209932636157962,0.38118884369279404,-0.2695486539342638,1.1007649679278786,11,47.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,0.20535210575264282,-0.14820485872408964,0.5732975358031586,29,62.0,<1,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,0.3445557088814237,-0.026736863570607144,0.7254117440134604,11,116.0,1-2,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,0.3238729105955022,-0.20610357321422493,0.8413106586397798,11,52.0,2-3,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,-0.12559625063268917,-0.594278573255986,0.3579786494288237,10,45.0,3-5,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,0.21593213912776923,-0.4718968362159407,0.9743323525786397,11,35.0,5-10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
gap_by_irmsd_ifaceok,,,0.11252907156012959,-0.5082423582711877,0.803371793171391,8,18.0,>10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,0.0,,,0.0318296507664864,0.14373872754812383,55,,,0.7222510672666436,0.822891427252798,0.10064035998615439,0.9894259818731118,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,5.0,,,-0.09005258540856315,0.07582924069332951,55,,,0.3332756432444906,0.3120745355947848,-0.021201107649705786,0.35599194360523667,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,10.0,,,-0.07946133173277312,0.06366822173649822,55,,,0.3555151724933656,0.3458809276566286,-0.009634244836737027,0.42900302114803623,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,15.0,,,-0.06210328299273596,0.1436250359792201,55,,,0.35046728971962615,0.35470751124956734,0.0042402215299411905,0.5830815709969789,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,20.0,,,-0.10187992714649971,0.1501135891179183,55,,,0.34983269874235606,0.3626110534210223,0.012778354678666226,0.6233635448136958,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T,30.0,,,-0.15466540265682305,0.1381533092974173,55,,,0.3521691473404869,0.3256028614284066,-0.026566285912080267,0.40584088620342396,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
kl_by_T_ifaceok,0.0,,,0.03023431163663174,0.14292762166263048,50,,,0.7204986149584488,0.8212373037857802,0.10073868882733139,0.9879275653923542,0.006000000000000005,1814.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant EXPC_within_binder --out results/expC2_rematch
